30
Ann Arbor
Manhattan
Corvallis
Iowa City
Charlottesville
Palo Alto
Madison
Santa Cruz
Rochester
Bellevue
Overland Park
Cambridge
Berkeley
Fort Collins
Irvine
Boulder
San Luis Obispo
Davis
Lincoln
Evanston
Columbia
Chapel Hill
Lawrence
Burlington
Pullman
Charleston
San Rafael
Eugene
San Mateo
Santa Barbara
0 21 5 5 23 13 16 7 5 7 17 19 18 14 23 12 27 12 11 8 22 24 13 22 27 9 25 23 10 6
25 0 29 12 18 9 28 7 10 9 16 13 16 15 6 24 5 21 5 24 20 16 15 26 21 12 20 26 18 7
14 15 0 7 9 8 23 27 11 20 27 13 29 15 18 8 13 28 19 19 9 19 6 29 25 5 26 26 14 10
15 24 24 0 12 26 29 26 11 11 16 10 9 8 6 24 13 10 16 24 8 12 27 7 26 26 14 24 8 21
28 10 7 20 0 5 28 21 18 21 5 24 9 26 15 27 15 22 9 10 13 15 29 28 14 28 29 19 8 11
24 10 15 17 7 0 27 16 29 5 13 25 17 11 28 16 16 9 25 6 15 9 26 17 17 20 5 20 21 23
12 14 16 25 13 19 0 27 12 25 10 29 22 18 24 20 12 8 11 15 29 16 18 26 26 9 29 5 7 8
20 17 6 17 20 27 24 0 19 15 5 26 9 10 13 28 27 5 17 6 7 7 17 27 9 19 20 11 23 5
25 23 18 19 6 8 10 27 0 20 8 21 22 25 13 16 18 18 7 7 17 15 19 8 9 25 25 26 28 25
16 22 10 17 25 24 18 6 21 0 27 17 9 14 26 15 11 17 5 5 21 6 18 12 7 28 14 12 14 27
8 5 8 20 5 19 10 25 19 10 0 25 7 14 10 10 15 25 25 13 23 13 21 20 26 8 13 17 26 7
25 29 25 13 25 28 28 11 6 6 18 0 15 9 28 17 9 16 7 23 19 23 25 12 24 29 17 21 20 14
25 29 16 5 9 6 28 23 5 22 18 26 0 6 11 15 16 24 17 27 25 10 28 9 24 16 29 10 18 25
28 19 15 5 14 26 12 8 15 18 25 18 29 0 17 11 22 23 25 28 13 9 21 12 13 29 11 7 21 20
5 24 22 12 28 7 8 20 22 15 17 15 25 5 0 23 6 27 21 9 21 11 23 24 19 19 22 7 20 10
14 14 20 13 24 27 6 9 29 29 11 20 24 6 29 0 15 18 17 15 20 14 20 8 6 9 12 11 24 18
22 23 25 12 14 11 21 24 10 6 19 20 11 16 27 19 0 14 25 21 11 12 9 20 9 14 14 25 10 6
21 6 28 29 6 8 24 15 21 11 28 11 6 6 7 8 25 0 22 29 24 15 8 15 9 12 6 12 28 24
17 6 15 8 21 22 7 23 22 14 10 24 7 22 23 18 6 5 0 22 12 25 11 27 20 9 21 12 25 10
19 5 21 26 23 7 15 7 21 5 13 8 23 24 15 26 21 10 13 0 29 28 16 7 13 13 8 11 6 13
16 13 20 8 28 26 17 20 8 7 22 12 25 12 25 8 29 9 18 6 0 23 29 21 14 22 25 13 8 25
15 29 19 16 20 17 15 10 26 14 20 15 8 27 16 21 23 8 5 25 20 0 13 15 25 13 18 27 5 27
22 20 6 20 12 26 27 27 16 22 19 14 5 28 12 9 19 19 12 19 7 7 0 6 10 26 12 16 11 22
8 12 28 14 8 19 14 6 19 12 26 29 7 10 7 15 5 16 13 24 11 6 21 0 26 25 22 9 7 11
22 7 14 7 29 24 28 19 7 17 15 6 21 11 26 27 29 19 19 23 23 24 14 29 0 17 27 7 19 18
16 10 6 5 9 12 24 13 23 29 22 15 28 27 25 14 6 21 19 15 5 14 11 29 21 0 21 12 21 15
24 9 17 12 29 25 12 22 27 14 14 27 20 9 23 28 18 5 23 6 12 26 14 24 29 16 0 10 25 14
19 20 5 21 24 25 24 8 9 26 8 23 5 17 12 14 19 9 27 23 8 29 6 20 12 23 13 0 29 25
6 24 11 7 5 22 15 15 12 21 16 13 12 18 8 21 29 9 7 18 23 25 7 17 22 21 24 17 0 13
28 18 5 11 22 24 18 21 18 28 28 26 28 28 18 5 14 25 10 22 21 11 7 17 20 6 9 12 25 0
