15
Ann Arbor
Manhattan
Corvallis
Iowa City
Charlottesville
Palo Alto
Madison
Santa Cruz
Rochester
Bellevue
Overland Park
Cambridge
Berkeley
Fort Collins
Irvine
0 21 5 5 23 13 16 7 5 7 17 19 18 14 23
12 0 27 12 11 8 22 24 13 22 27 9 25 23 10
6 25 0 29 12 18 9 28 7 10 9 16 13 16 15
6 24 5 0 21 5 24 20 16 15 26 21 12 20 26
18 7 14 15 0 7 9 8 23 27 11 20 27 13 29
15 18 8 13 28 0 19 19 9 19 6 29 25 5 26
26 14 10 15 24 24 0 12 26 29 26 11 11 16 10
9 8 6 24 13 10 16 0 24 8 12 27 7 26 26
14 24 8 21 28 10 7 20 0 5 28 21 18 21 5
24 9 26 15 27 15 22 9 10 0 13 15 29 28 14
28 29 19 8 11 24 10 15 17 7 0 27 16 29 5
13 25 17 11 28 16 16 9 25 6 15 0 9 26 17
17 20 5 20 21 23 12 14 16 25 13 19 0 27 12
25 10 29 22 18 24 20 12 8 11 15 29 16 0 18
26 26 9 29 5 7 8 20 17 6 17 20 27 24 0
