1600 6162
1449 1450 56.84
1036 1076 40.67
686 687 26.89
1538 1577 60.35
903 904 35.42
434 473 17.03
343 382 13.45
329 369 12.90
436 437 17.10
430 469 16.87
951 990 37.32
629 669 24.69
344 345 13.48
542 583 21.28
1421 1422 55.75
63 102 2.46
863 903 33.87
365 404 14.30
651 690 25.53
689 690 27.01
402 403 15.74
1115 1155 43.77
15 16 0.56
937 938 36.75
1167 1206 45.78
567 568 22.22
1227 1267 48.16
463 504 18.18
340 381 13.35
569 608 22.31
44 84 1.71
624 665 24.50
92 93 3.58
112 151 4.39
61 101 2.39
432 473 16.97
1033 1034 40.53
820 860 32.18
1493 1494 58.57
224 264 8.79
1090 1091 42.75
1094 1095 42.91
58 59 2.25
702 703 27.53
427 466 16.75
1315 1355 51.62
1209 1210 47.42
1012 1013 39.69
907 946 35.59
1261 1302 49.50
313 354 12.30
456 496 17.89
1097 1137 43.05
1115 1154 43.76
1295 1336 50.83
1050 1091 41.21
1127 1167 44.22
6 7 0.20
327 366 12.81
571 610 22.39
219 220 8.57
43 44 1.65
1550 1590 60.84
475 476 18.63
254 295 9.97
799 839 31.37
634 635 24.87
12 13 0.44
352 391 13.81
64 103 2.50
901 941 35.36
308 348 12.09
430 470 16.88
1092 1133 42.86
856 897 33.60
608 647 23.84
928 968 36.41
902 903 35.38
300 339 11.76
380 420 14.91
258 259 10.10
64 65 2.49
73 113 2.87
1266 1307 49.70
1133 1174 44.47
910 911 35.70
1423 1464 55.86
162 203 6.35
28 67 1.09
1172 1213 46.00
877 917 34.43
1049 1089 41.16
816 817 32.00
1235 1275 48.48
1154 1194 45.30
481 522 18.87
122 162 4.77
192 193 7.52
1308 1349 51.35
1031 1071 40.47
855 856 33.53
48 49 1.85
1294 1333 50.77
727 728 28.50
193 234 7.59
816 856 32.02
636 676 24.97
547 588 21.48
375 414 14.70
1311 1352 51.47
404 405 15.82
1447 1488 56.79
1391 1431 54.60
1406 1407 55.15
2 43 0.07
572 611 22.43
191 231 7.50
1380 1421 54.17
685 726 26.88
511 552 20.07
699 739 27.43
774 814 30.37
1233 1274 48.41
607 608 23.79
1177 1216 46.18
1163 1203 45.63
317 358 12.46
224 263 8.78
1272 1312 49.93
1448 1449 56.80
1269 1270 49.79
965 1005 37.86
636 675 24.96
346 347 13.56
1378 1417 54.07
596 637 23.41
1513 1554 59.40
831 872 32.63
1215 1216 47.66
1549 1588 60.79
337 376 13.21
1136 1175 44.57
557 597 21.87
1551 1590 60.87
520 560 20.41
1299 1339 50.98
1021 1062 40.08
466 506 18.29
981 982 38.48
377 418 14.80
258 299 10.13
473 474 18.55
1316 1356 51.66
1552 1592 60.92
85 125 3.32
461 500 18.08
670 709 26.29
1366 1406 53.60
582 623 22.85
933 934 36.59
918 958 36.04
629 670 24.70
890 931 34.93
1307 1346 51.29
1103 1143 43.29
1104 1144 43.33
901 942 35.37
112 113 4.38
1136 1177 44.59
1254 1294 49.21
501 540 19.65
731 732 28.66
534 575 20.96
700 740 27.47
1007 1048 39.52
1432 1433 56.19
1294 1295 50.76
686 725 26.90
814 855 31.95
641 642 25.13
654 694 25.66
1524 1565 59.81
828 829 32.48
1517 1558 59.56
649 690 25.47
1181 1220 46.34
1282 1283 50.28
867 906 34.02
1137 1177 44.62
456 457 17.87
681 721 26.71
839 878 32.93
981 1022 38.51
777 778 30.47
1104 1145 43.34
428 468 16.80
982 1023 38.55
632 633 24.79
657 698 25.79
1049 1050 41.14
1083 1122 42.48
1039 1080 40.80
1131 1170 44.37
305 345 11.97
1329 1370 52.16
364 404 14.27
70 111 2.76
950 991 37.30
1098 1099 43.07
1022 1061 40.10
1362 1401 53.43
400 439 15.69
922 963 36.18
633 673 24.85
1116 1155 43.80
1243 1284 48.78
383 384 15.01
73 74 2.85
1028 1068 40.35
