400 1482
300 320 11.55
342 343 13.13
247 268 9.51
129 150 4.97
308 309 11.83
57 78 2.21
85 105 3.26
80 100 3.08
247 267 9.50
391 392 14.74
376 395 14.47
131 132 5.02
148 168 5.69
323 324 12.40
256 277 9.87
337 356 12.97
83 104 3.19
334 335 12.84
44 64 1.68
184 204 7.07
132 153 5.09
250 269 9.61
127 128 4.86
169 170 6.48
328 348 12.62
287 308 11.05
167 186 6.41
254 274 9.78
223 242 8.56
363 364 13.94
365 366 14.02
233 234 8.95
365 384 14.03
295 316 11.37
103 123 3.95
304 323 11.68
110 131 4.24
193 212 7.42
310 311 11.91
15 34 0.57
130 131 4.98
211 232 8.13
351 352 13.49
272 273 10.45
149 168 5.72
10 31 0.39
122 143 4.69
326 345 12.53
289 309 11.12
103 124 3.96
58 59 2.22
200 219 7.69
306 325 11.76
303 323 11.65
280 300 10.78
255 256 9.80
323 342 12.41
207 227 7.96
108 109 4.13
135 136 5.18
92 112 3.54
257 258 9.88
188 209 7.24
238 258 9.17
210 229 8.07
103 104 3.93
242 262 9.30
190 211 7.32
173 174 6.64
11 30 0.41
289 290 11.10
222 223 8.51
42 63 1.61
327 348 12.59
94 95 3.60
143 162 5.48
197 218 7.60
295 314 11.35
139 158 5.35
309 328 11.88
76 95 2.92
277 296 10.66
152 153 5.83
235 256 9.06
173 192 6.65
373 392 14.35
116 135 4.46
213 232 8.19
16 37 0.63
286 287 10.98
85 106 3.27
82 101 3.13
247 266 9.49
102 122 3.91
71 91 2.73
353 374 13.60
75 76 2.87
288 289 11.06
371 392 14.29
34 53 1.30
278 298 10.71
10 29 0.37
201 221 7.72
213 233 8.20
394 395 14.77
395 396 14.78
172 192 6.62
238 257 9.16
174 193 6.69
296 315 11.39
343 344 13.17
227 246 8.72
99 120 3.83
363 384 13.97
331 350 12.73
86 107 3.31
6 26 0.22
162 163 6.20
262 283 10.08
98 118 3.78
281 282 10.79
239 259 9.21
204 223 7.83
218 239 8.41
47 66 1.79
26 46 0.99
79 100 3.06
342 363 13.16
66 85 2.52
156 177 6.02
310 331 11.94
372 391 14.31
51 70 1.95
107 126 4.10
257 278 9.91
294 295 11.30
52 53 1.98
226 247 8.70
216 217 8.30
305 326 11.74
101 102 3.86
209 228 8.03
270 289 10.38
172 193 6.63
35 36 1.33
210 231 8.09
154 155 5.91
45 64 1.71
214 233 8.23
26 27 0.97
75 95 2.89
219 238 8.43
293 313 11.28
208 229 8.01
128 149 4.93
127 146 4.87
104 124 3.99
189 190 7.25
3 4 0.08
93 94 3.56
191 192 7.33
114 134 4.39
140 159 5.38
310 329 11.92
209 210 8.02
38 57 1.46
203 223 7.80
131 150 5.03
377 398 14.53
314 315 12.07
217 218 8.34
22 23 0.81
219 240 8.45
132 133 5.06
374 395 14.41
195 215 7.51
301 302 11.56
230 251 8.86
374 394 14.40
210 211 8.06
316 317 12.15
179 198 6.89
299 300 11.50
148 167 5.68
63 64 2.39
372 392 14.32
4 5 0.12
150 171 5.78
250 271 9.63
161 182 6.19
64 85 2.46
46 47 1.74
203 224 7.81
351 371 13.51
57 76 2.19
86 106 3.30
267 286 10.26
124 144 4.76
169 188 6.49
33 52 1.26
330 331 12.68
129 149 4.96
214 234 8.24
164 165 6.28
14 15 0.52
171 190 6.57
95 96 3.64
89 110 3.43
6 7 0.20
195 214 7.50
151 171 5.81
146 167 5.62
305 324 11.72
321 322 12.33
17 36 0.65
1 2 0.01
377 378 14.50
217 237 8.36
293 294 11.26
341 342 13.10
263 283 10.11
249 250 9.56
14 34 0.54
43 44 1.62
346 366 13.31
181 202 6.96
143 144 5.47
122 142 4.68
378 399 14.57
367 368 14.10
384 385 14.67
48 49 1.82
287 307 11.04
299 319 11.52
119 139 4.59
24 43 0.90
65 86 2.50
343 362 13.18
9 30 0.35
68 69 2.59
196 217 7.56
275 295 10.59
160 180 6.16
311 330 11.96
331 351 12.74
270 291 10.40
94 114 3.62
227 248 8.74
48 67 1.83
347 367 13.35
51 71 1.96
354 373 13.62
329 350 12.67
254 275 9.79
317 336 12.20
125 145 4.80
356 376 13.71
11 12 0.40
117 137 4.51
314 333 12.08
59 60 2.26
220 240 8.47
232 251 8.92
275 296 10.60
399 400 14.82
8 9 0.28
157 177 6.05
365 385 14.04
343 363 13.19
44 63 1.67
375 395 14.44
111 112 4.25
163 164 6.24
27 47 1.03
114 115 4.37
54 55 2.06
54 75 2.09
107 127 4.11
291 311 11.20
392 393 14.75
74 94 2.85
83 103 3.18
296 316 11.40
149 170 5.74
188 189 7.21
393 394 14.76
63 82 2.40
241 262 9.27
233 253 8.97
187 206 7.18
265 286 10.20
325 326 12.48
84 103 3.21
349 369 13.43
307 327 11.81
10 30 0.38
197 217 7.59
37 38 1.41
313 333 12.05
138 157 5.31
30 50 1.15
56 76 2.16
285 305 10.96
257 276 9.89
284 285 10.90
134 135 5.14
358 359 13.77
186 187 7.13
28 29 1.05
379 399 14.60
291 292 11.18
110 129 4.22
75 96 2.90
378 379 14.54
161 181 6.18
108 129 4.16
292 312 11.24
102 123 3.92
111 131 4.27
263 282 10.10
148 169 5.70
56 57 2.14
283 303 10.88
142 163 5.46
291 310 11.19
8 29 0.31
320 339 12.31
371 372 14.26
203 222 7.79
87 107 3.34
12 32 0.46
179 180 6.88
311 312 11.95
109 129 4.19
2 21 0.05
87 106 3.33
84 105 3.23
375 376 14.42
31 50 1.18
165 184 6.33
23 24 0.85
171 191 6.58
168 169 6.44
45 46 1.70
32 33 1.21
34 55 1.32
221 242 8.50
38 59 1.48
90 109 3.45
88 107 3.37
18 38 0.70
253 254 9.72
174 175 6.68
155 175 5.97
322 343 12.39
91 110 3.49
122 141 4.67
139 140 5.34
376 377 14.46
340 359 13.08
24 25 0.89
207 226 7.95
165 166 6.32
123 143 4.72
330 350 12.70
334 354 12.86
342 361 13.14
84 85 3.20
223 224 8.55
353 373 13.59
163 184 6.27
16 35 0.61
164 184 6.30
318 337 12.24
52 73 2.01
335 355 12.90
12 31 0.45
317 318 12.19
270 271 10.37
212 213 8.14
3 24 0.11
205 206 7.86
103 122 3.94
350 371 13.48
235 255 9.05
376 397 14.49
312 313 11.99
348 368 13.39
357 376 13.74
88 108 3.38
237 257 9.13
84 104 3.22
335 336 12.88
313 334 12.06
27 46 1.02
292 293 11.22
137 157 5.28
49 68 1.87
243 262 9.33
32 53 1.24
281 302 10.81
112 131 4.30
101 121 3.87
37 58 1.44
136 155 5.23
258 277 9.93
275 294 10.58
345 365 13.27
301 321 11.57
293 312 11.27
74 93 2.84
377 397 14.52
72 93 2.78
133 153 5.12
345 364 13.26
36 55 1.38
92 93 3.52
187 207 7.19
288 308 11.08
301 322 11.58
68 87 2.60
225 246 8.66
135 156 5.21
24 45 0.92
298 299 11.46
126 145 4.83
191 212 7.36
118 119 4.53
336 355 12.93
319 340 12.30
133 154 5.13
144 164 5.53
247 248 9.48
136 156 5.24
152 171 5.84
27 28 1.01
167 168 6.40
204 205 7.82
358 379 13.80
232 252 8.93
259 280 9.99
121 142 4.65
42 61 1.59
188 208 7.23
211 230 8.11
193 214 7.44
170 189 6.53
79 98 3.04
169 189 6.50
287 306 11.03
221 222 8.48
373 374 14.34
277 297 10.67
226 245 8.68
70 90 2.69
238 259 9.18
252 253 9.68
231 252 8.90
298 319 11.49
269 288 10.34
111 132 4.28
274 294 10.55
283 304 10.89
324 344 12.46
264 284 10.15
90 110 3.46
70 91 2.70
248 249 9.52
277 278 10.65
242 263 9.31
77 97 2.97
147 148 5.63
32 52 1.23
168 187 6.45
279 280 10.73
112 132 4.31
8 27 0.29
105 126 4.04
329 348 12.65
362 382 13.92
378 397 14.55
20 39 0.76
343 364 13.20
372 373 14.30
307 308 11.79
69 70 2.63
286 306 11.00
317 338 12.22
271 290 10.42
53 74 2.05
239 240 9.19
132 151 5.07
228 248 8.77
25 44 0.94
2 22 0.06
357 377 13.75
189 209 7.27
18 39 0.71
220 239 8.46
47 67 1.80
77 78 2.95
360 380 13.86
41 42 1.55
299 318 11.51
40 59 1.53
13 14 0.48
275 276 10.57
227 247 8.73
4 24 0.14
71 92 2.74
232 233 8.91
252 272 9.70
97 118 3.75
183 204 7.04
263 264 10.09
207 228 7.97
272 293 10.48
326 346 12.54
71 72 2.71
19 40 0.75
256 257 9.84
346 365 13.30
229 250 8.82
29 48 1.10
197 216 7.58
105 125 4.03
99 118 3.81
147 166 5.64
165 186 6.35
364 385 14.01
29 49 1.11
42 62 1.60
388 389 14.71
49 70 1.89
302 321 11.60
98 119 3.79
26 45 0.98
131 152 5.05
197 198 7.57
223 244 8.58
326 347 12.55
234 255 9.02
81 101 3.10
166 185 6.37
82 83 3.12
339 340 13.04
21 22 0.78
79 99 3.05
271 291 10.43
273 294 10.52
297 316 11.43
315 335 12.13
80 99 3.07
358 378 13.79
108 128 4.15
12 13 0.44
229 248 8.80
164 185 6.31
211 231 8.12
230 250 8.85
139 159 5.36
335 356 12.91
33 54 1.28
279 300 10.76
28 49 1.08
303 322 11.64
370 389 14.23
251 252 9.64
130 150 5.00
77 96 2.96
196 197 7.53
214 235 8.25
23 43 0.87
264 265 10.13
42 43 1.58
158 178 6.09
319 339 12.29
171 172 6.56
341 361 13.11
134 153 5.15
28 47 1.06
239 258 9.20
148 149 5.67
347 348 13.33
355 376 13.68
2 23 0.07
51 72 1.97
129 130 4.94
366 367 14.06
252 273 9.71
350 370 13.47
315 336 12.14
81 102 3.11
101 122 3.88
65 84 2.48
168 189 6.47
341 362 13.12
57 58 2.18
19 38 0.73
386 387 14.69
121 122 4.63
355 374 13.66
104 125 4.00
336 357 12.95
361 362 13.87
41 61 1.56
26 47 1.00
364 384 14.00
72 73 2.75
111 130 4.26
178 198 6.86
352 371 13.54
135 154 5.19
31 51 1.19
18 37 0.69
212 232 8.16
334 353 12.85
290 291 11.14
62 83 2.38
146 147 5.59
176 177 6.76
175 194 6.73
293 314 11.29
46 66 1.76
130 151 5.01
176 197 6.79
99 119 3.82
190 191 7.29
144 145 5.51
169 190 6.51
178 199 6.87
117 138 4.52
110 111 4.21
91 112 3.51
344 363 13.22
203 204 7.78
364 383 13.99
5 26 0.19
245 246 9.40
245 265 9.42
128 148 4.92
246 266 9.46
52 71 1.99
344 365 13.24
253 272 9.73
67 88 2.58
260 280 10.01
232 253 8.94
150 170 5.77
239 260 9.22
172 173 6.60
327 347 12.58
282 283 10.82
198 219 7.64
288 307 11.07
53 73 2.04
37 56 1.42
92 111 3.53
186 205 7.14
326 327 12.52
306 307 11.75
312 332 12.01
351 372 13.52
56 75 2.15
137 138 5.26
140 160 5.39
337 358 12.99
56 77 2.17
323 344 12.43
19 39 0.74
254 255 9.76
285 304 10.95
337 338 12.96
264 283 10.14
285 286 10.94
289 310 11.13
102 103 3.89
3 23 0.10
309 330 11.90
194 195 7.45
104 105 3.97
210 230 8.08
355 375 13.67
231 232 8.87
313 332 12.04
73 74 2.79
338 357 13.01
335 354 12.89
153 172 5.88
106 126 4.07
383 384 14.66
13 33 0.50
144 163 5.52
236 237 9.07
318 338 12.25
79 80 3.03
97 116 3.73
273 293 10.51
5 25 0.18
25 46 0.96
82 102 3.14
55 74 2.11
336 356 12.94
175 176 6.72
331 332 12.72
58 79 2.25
142 161 5.44
269 289 10.35
366 386 14.08
88 89 3.36
204 225 7.85
97 98 3.72
