100 342
44 54 1.62
2 13 0.07
6 7 0.20
80 89 2.95
82 93 3.03
9 18 0.33
50 60 1.85
97 98 3.40
69 80 2.57
57 68 2.12
61 62 2.23
87 98 3.23
37 46 1.36
43 54 1.59
65 75 2.40
24 33 0.87
60 70 2.22
31 42 1.14
27 38 1.01
31 32 1.12
54 55 1.97
29 30 1.06
34 45 1.26
57 58 2.09
11 22 0.40
69 70 2.54
29 40 1.09
54 63 1.98
76 86 2.81
19 20 0.69
89 98 3.29
74 84 2.73
68 69 2.50
14 15 0.49
20 30 0.74
37 38 1.35
68 77 2.51
62 71 2.27
36 37 1.31
63 74 2.33
59 68 2.18
77 87 2.85
52 63 1.92
38 47 1.40
52 53 1.89
62 73 2.29
34 35 1.23
26 37 0.97
81 82 2.97
2 12 0.06
78 79 2.87
16 17 0.57
67 76 2.47
79 90 2.94
16 25 0.58
30 39 1.10
84 85 3.08
5 15 0.18
44 55 1.63
79 89 2.93
22 23 0.78
33 44 1.22
26 27 0.94
44 53 1.61
24 35 0.89
6 17 0.23
21 31 0.76
51 52 1.86
77 78 2.83
9 19 0.34
15 24 0.54
53 54 1.93
46 57 1.71
56 57 2.05
68 78 2.52
96 97 3.39
47 56 1.73
6 16 0.22
5 16 0.19
52 61 1.90
13 23 0.47
11 12 0.38
50 59 1.84
55 65 2.03
66 75 2.43
89 99 3.30
39 50 1.46
73 82 2.68
47 48 1.72
10 20 0.37
4 14 0.14
36 45 1.32
36 46 1.33
46 55 1.69
43 52 1.57
32 42 1.17
79 80 2.91
75 84 2.76
48 59 1.79
35 46 1.30
22 31 0.79
1 12 0.03
62 63 2.26
83 84 3.04
82 83 3.00
12 23 0.44
35 45 1.29
54 65 2.00
82 92 3.02
16 26 0.59
88 89 3.24
40 49 1.47
13 14 0.45
65 74 2.39
59 69 2.19
8 18 0.30
4 15 0.15
76 85 2.80
42 52 1.54
13 24 0.48
74 75 2.71
83 92 3.05
51 61 1.87
17 26 0.62
72 82 2.65
23 24 0.82
63 64 2.30
90 100 3.33
49 58 1.81
6 15 0.21
77 86 2.84
29 39 1.08
3 4 0.08
69 78 2.55
14 24 0.51
89 90 3.28
12 22 0.43
18 27 0.66
57 66 2.10
27 28 0.98
38 48 1.41
77 88 2.86
37 47 1.37
38 39 1.39
74 83 2.72
41 52 1.51
68 79 2.53
3 12 0.09
55 66 2.04
12 21 0.42
48 58 1.78
1 2 0.01
83 93 3.06
60 69 2.21
15 26 0.56
43 44 1.56
71 81 2.61
42 53 1.55
62 72 2.28
8 17 0.29
66 67 2.42
15 16 0.53
73 74 2.67
87 96 3.21
64 74 2.36
41 42 1.49
85 94 3.13
19 28 0.70
84 94 3.10
95 96 3.38
23 33 0.84
11 21 0.39
46 47 1.68
7 8 0.24
24 34 0.88
84 95 3.11
29 38 1.07
45 46 1.64
63 73 2.32
15 25 0.55
18 29 0.68
58 67 2.14
9 10 0.32
75 85 2.77
79 88 2.92
64 73 2.35
65 66 2.38
41 51 1.50
90 99 3.32
37 48 1.38
88 99 3.27
81 91 2.98
65 76 2.41
23 32 0.83
34 44 1.25
54 64 1.99
38 49 1.42
53 63 1.95
78 89 2.90
53 62 1.94
33 43 1.21
18 28 0.67
33 42 1.20
93 94 3.36
83 94 3.07
35 36 1.27
76 87 2.82
76 77 2.79
66 76 2.44
78 88 2.89
8 19 0.31
33 34 1.19
23 34 0.85
46 56 1.70
2 3 0.04
25 35 0.92
5 6 0.16
86 96 3.18
26 35 0.95
86 95 3.17
70 80 2.59
35 44 1.28
85 95 3.14
44 45 1.60
39 49 1.45
72 73 2.63
4 13 0.13
56 66 2.07
58 68 2.15
55 64 2.02
85 86 3.12
2 11 0.05
4 5 0.12
69 79 2.56
59 60 2.17
86 97 3.19
32 43 1.18
80 90 2.96
67 68 2.46
34 43 1.24
98 99 3.41
75 86 2.78
21 22 0.75
42 51 1.53
70 79 2.58
72 83 2.66
84 93 3.09
36 47 1.34
73 83 2.69
27 36 0.99
28 39 1.05
72 81 2.64
55 56 2.01
56 67 2.08
16 27 0.60
17 28 0.64
5 14 0.17
19 30 0.72
61 72 2.25
71 72 2.60
22 32 0.80
61 71 2.24
89 100 3.31
1 11 0.02
3 13 0.10
26 36 0.96
56 65 2.06
57 67 2.11
63 72 2.31
17 27 0.63
45 55 1.66
28 38 1.04
31 41 1.13
25 26 0.90
7 17 0.26
87 88 3.20
53 64 1.96
27 37 1.00
91 92 3.34
21 32 0.77
99 100 3.42
43 53 1.58
67 77 2.48
39 40 1.43
25 34 0.91
74 85 2.74
78 87 2.88
47 58 1.75
49 50 1.80
10 19 0.36
19 29 0.71
13 22 0.46
28 37 1.03
58 69 2.16
30 40 1.11
42 43 1.52
14 23 0.50
39 48 1.44
73 84 2.70
86 87 3.16
40 50 1.48
48 57 1.77
66 77 2.45
45 54 1.65
85 96 3.15
64 65 2.34
3 14 0.11
81 92 2.99
48 49 1.76
24 25 0.86
32 41 1.16
17 18 0.61
9 20 0.35
7 18 0.27
47 57 1.74
14 25 0.52
88 97 3.25
8 9 0.28
28 29 1.02
52 62 1.91
51 62 1.88
45 56 1.67
32 33 1.15
88 98 3.26
25 36 0.93
49 59 1.82
7 16 0.25
64 75 2.37
94 95 3.37
12 13 0.41
92 93 3.35
87 97 3.22
71 82 2.62
67 78 2.49
75 76 2.75
22 33 0.81
59 70 2.20
82 91 3.01
58 59 2.13
49 60 1.83
18 19 0.65
20 29 0.73
