40000 158802
8053 8252 320.89
39064 39065 1556.67
21302 21303 848.86
36523 36524 1455.42
9729 9929 387.70
39561 39762 1576.52
33846 34046 1348.75
26717 26918 1064.68
4190 4389 166.97
17240 17439 686.99
10323 10523 411.37
2030 2230 80.88
21243 21443 846.52
16307 16508 649.84
34234 34235 1364.19
28317 28516 1128.42
30533 30733 1216.74
18948 19148 755.08
22547 22746 898.49
12939 13139 515.62
28299 28300 1127.69
33390 33590 1330.60
38914 39114 1550.72
20310 20511 809.36
19047 19048 758.99
33678 33679 1342.04
12055 12056 480.36
5143 5343 204.95
22334 22533 890.00
12314 12515 490.72
26684 26685 1063.33
38092 38293 1517.97
18283 18482 728.56
7651 7851 304.88
19703 19903 785.16
11221 11420 447.13
36653 36853 1460.61
3402 3603 135.56
38334 38534 1527.61
18205 18404 725.44
34269 34469 1365.61
19631 19831 782.28
1713 1913 68.26
23584 23784 939.83
28564 28565 1138.26
15565 15766 620.28
39083 39283 1557.45
14067 14268 560.57
31809 32008 1267.56
3299 3500 131.47
32662 32862 1301.57
10634 10835 423.76
16890 17091 673.07
8229 8430 327.92
36469 36668 1453.27
22882 23081 911.83
7302 7501 290.97
28097 28098 1119.64
9893 10094 394.24
3787 3788 150.90
7580 7581 302.05
22579 22778 899.77
2330 2531 92.86
30448 30449 1213.32
13889 14090 553.48
5363 5364 213.70
9370 9371 373.38
2791 2990 111.22
12465 12466 496.70
35837 36038 1428.10
38599 38600 1538.16
23048 23249 918.46
2279 2478 90.80
18287 18288 728.71
15463 15662 616.18
19464 19663 775.62
4444 4445 177.06
23150 23351 922.54
5594 5794 222.93
9436 9636 376.01
26416 26616 1052.66
16660 16661 663.87
30511 30711 1215.86
26951 27152 1074.01
5003 5203 199.35
25754 25755 1026.28
19317 19318 769.76
11133 11333 443.65
1016 1217 40.48
1014 1214 40.39
25200 25400 1004.22
21271 21472 847.65
30294 30295 1207.19
31375 31574 1250.29
26861 27060 1070.39
36831 36832 1467.68
28408 28609 1132.05
33388 33587 1330.51
18828 19027 750.27
16616 16817 662.14
20810 20811 829.24
36913 37112 1470.97
1192 1193 47.49
25355 25555 1010.40
11658 11659 464.54
38973 39173 1553.08
25013 25214 996.76
11021 11022 439.15
25970 26171 1034.92
10938 10939 435.86
32876 32877 1310.08
15570 15769 620.46
25310 25511 1008.61
21081 21281 840.07
23364 23365 931.04
7436 7636 296.31
21498 21697 856.68
6359 6560 253.42
19119 19319 761.89
12056 12257 480.43
25789 25790 1027.68
9147 9346 364.50
36473 36672 1453.43
1890 2090 75.31
18450 18651 735.23
29739 29940 1185.11
10454 10655 416.59
3137 3337 125.01
14555 14755 580.02
29517 29717 1176.25
36724 36923 1463.44
6637 6837 264.47
20174 20175 803.92
35321 35520 1407.53
21817 22017 869.39
12737 12936 507.56
7871 8071 313.65
25470 25669 1014.96
3102 3303 123.62
37734 37735 1503.68
4559 4560 181.66
21120 21121 841.61
30170 30371 1202.29
29403 29404 1171.67
5904 6103 235.26
10645 10846 424.20
33081 33281 1318.27
2448 2647 97.53
6034 6234 240.44
23553 23752 938.58
28883 29083 1150.98
6559 6760 261.39
10617 10618 423.05
36153 36352 1440.69
8595 8794 342.51
33926 34126 1351.95
28362 28563 1130.24
13273 13274 528.90
31900 32100 1271.21
6818 7019 271.69
3812 4012 151.89
36785 36786 1465.87
31374 31573 1250.25
4809 5009 191.62
6539 6738 260.57
34498 34699 1374.75
406 605 16.15
31952 32153 1273.30
7856 8055 313.04
39772 39973 1584.93
16406 16606 653.76
37560 37761 1496.78
29764 29965 1186.11
26134 26334 1041.44
6152 6153 245.14
25879 25880 1031.25
8443 8444 336.42
20120 20321 801.79
35640 35840 1420.24
6801 7002 271.01
18234 18235 726.59
5735 5736 228.52
26328 26329 1049.15
23335 23535 929.90
23114 23115 921.07
32586 32785 1298.55
6006 6206 239.32
39366 39367 1568.72
25728 25928 1025.26
26338 26537 1049.56
30027 30226 1196.55
31183 31382 1242.64
22359 22560 891.02
1789 1790 71.28
26155 26156 1042.26
26124 26125 1041.02
1884 2084 75.07
1547 1748 61.66
7925 8124 315.80
35358 35557 1409.01
39454 39455 1572.21
38053 38253 1516.40
4123 4124 164.28
1128 1327 44.94
32838 33039 1308.59
9552 9752 380.65
1768 1969 70.47
9045 9244 360.42
3920 4121 156.22
33980 34181 1354.12
32604 32803 1299.24
26820 27019 1068.75
19577 19777 780.15
33434 33634 1332.33
18725 18726 746.17
34881 35081 1390.00
28915 28916 1152.24
10946 10947 436.18
3887 4086 154.88
1709 1909 68.10
14755 14955 587.99
13228 13429 527.13
32137 32336 1280.65
16415 16616 654.13
17603 17804 701.47
4300 4500 171.35
14575 14775 580.82
