6400 25122
2947 3026 116.77
619 698 24.52
5513 5594 218.47
2306 2386 91.38
2667 2748 105.68
4020 4100 159.28
963 1042 38.13
3794 3874 150.33
2486 2487 98.47
4875 4876 193.16
1284 1363 50.85
2229 2310 88.34
2002 2082 79.31
684 764 27.10
1033 1112 40.93
2280 2360 90.34
3692 3772 146.28
4068 4148 161.20
1345 1346 53.28
296 376 11.73
4678 4757 185.35
2691 2692 106.61
3875 3955 153.54
5045 5124 199.88
3418 3499 135.45
1916 1995 75.92
233 234 9.22
2524 2603 100.00
1734 1735 68.69
2644 2723 104.74
4007 4008 158.74
2160 2240 85.59
1879 1959 74.45
1602 1682 63.46
3195 3275 126.61
736 817 29.16
4137 4217 163.93
4389 4468 173.91
2453 2534 97.21
4559 4639 180.66
2715 2794 107.58
4126 4207 163.50
4124 4204 163.41
5549 5629 219.87
4144 4145 164.19
1790 1869 70.91
3662 3742 145.11
2321 2322 91.94
149 150 5.89
4079 4080 161.62
4276 4355 169.42
4485 4564 177.69
1996 2077 79.11
5988 5989 237.26
5797 5878 229.71
6073 6154 240.66
181 262 7.17
823 824 32.58
3848 3849 152.44
5745 5826 227.66
846 847 33.50
2068 2147 81.94
3506 3507 138.91
4180 4260 165.62
254 335 10.06
5335 5414 211.39
3379 3460 133.89
972 1051 38.49
1845 1926 73.10
4790 4869 189.80
691 692 27.36
3480 3561 137.90
295 376 11.70
3110 3111 123.22
6189 6268 245.22
4465 4546 176.94
3920 3999 155.32
6319 6398 250.39
2637 2718 104.51
1188 1267 47.07
5826 5827 230.84
2377 2378 94.17
6297 6298 249.50
5938 6019 235.29
1586 1587 62.83
4788 4869 189.74
3294 3375 130.52
4227 4306 167.49
4035 4114 159.87
1190 1191 47.14
5621 5700 222.71
5224 5305 207.00
3030 3110 120.07
1596 1597 63.23
3778 3858 149.69
3238 3318 128.30
5870 5871 232.57
1735 1814 68.74
2164 2243 85.72
277 278 10.95
3564 3643 141.21
381 461 15.10
1161 1240 45.99
4232 4313 167.71
4769 4849 188.97
4381 4382 173.58
73 153 2.90
3046 3127 120.69
4354 4434 172.52
3967 4046 157.18
5455 5534 216.13
5896 5976 233.63
570 650 22.57
696 776 27.58
371 450 14.69
4099 4178 162.40
3510 3590 139.09
2031 2112 80.48
2323 2403 92.03
4669 4670 184.98
6257 6258 247.90
919 999 36.41
3950 4029 156.50
4397 4398 174.22
2792 2873 110.65
5312 5313 210.46
1010 1090 40.02
451 452 17.85
6092 6171 241.37
1501 1581 59.48
3095 3176 122.65
1609 1610 63.72
5607 5688 222.17
274 354 10.85
3551 3631 140.70
4018 4098 159.20
4215 4295 167.02
4779 4858 189.36
5700 5781 225.86
3725 3726 147.58
1321 1401 52.34
4303 4382 170.50
6213 6294 246.20
6010 6011 238.11
3252 3333 128.87
6231 6232 246.89
758 838 30.03
538 619 21.33
4508 4587 178.61
2270 2351 89.95
5266 5346 208.67
2964 3045 117.44
4099 4100 162.39
358 359 14.16
3805 3806 150.75
3537 3616 140.13
1609 1690 63.75
5825 5906 230.83
1978 2057 78.37
2155 2235 85.40
3607 3686 142.90
5433 5514 215.30
4868 4949 192.91
6113 6114 242.20
1338 1339 53.00
3691 3771 146.24
3445 3446 136.47
2963 3043 117.39
6236 6316 247.11
5417 5497 214.65
4654 4733 184.39
2901 2982 114.95
6079 6158 240.88
2662 2741 105.46
4952 5032 196.23
1576 1655 62.44
289 370 11.46
1374 1454 54.43
2788 2868 110.48
1599 1680 63.38
5412 5413 214.43
4027 4108 159.57
717 797 28.42
2107 2187 83.48
2874 2875 113.87
1904 1984 75.45
6197 6278 245.56
5479 5559 217.10
5480 5559 217.13
533 614 21.13
3194 3195 126.55
2880 2959 114.11
4611 4691 182.71
2378 2458 94.23
525 604 20.79
2712 2793 107.48
1239 1240 49.07
2312 2393 91.63
3281 3282 129.98
6289 6290 249.18
115 195 4.55
968 1047 38.33
1355 1436 53.71
5389 5390 213.51
3896 3976 154.38
5954 6034 235.92
6061 6142 240.18
1553 1634 61.54
305 306 12.07
6044 6123 239.48
1346 1425 53.33
1692 1772 67.03
5050 5129 200.08
3851 3931 152.58
1615 1694 63.97
2012 2093 79.72
2633 2634 104.32
442 522 17.51
2106 2185 83.43
100 179 3.94
4289 4290 169.93
4161 4242 164.87
2083 2084 82.50
692 773 27.43
5766 5767 228.44
954 955 37.79
776 855 30.74
5577 5657 220.99
1664 1665 65.92
1901 1902 75.31
2154 2234 85.36
5653 5654 223.98
5799 5878 229.77
3478 3479 137.79
3173 3253 125.73
5059 5060 200.43
6120 6121 242.48
4526 4606 179.34
5439 5520 215.54
6065 6066 240.31
4965 5046 196.73
5347 5427 211.88
4684 4764 185.60
3268 3347 129.49
4825 4904 191.17
3938 4017 156.02
182 263 7.21
2600 2679 103.01
133 213 5.27
6320 6399 250.42
509 590 20.17
2111 2191 83.64
3513 3593 139.21
1978 2059 78.39
950 1029 37.64
3830 3910 151.77
245 325 9.69
4177 4258 165.51
4617 4698 182.96
5669 5670 224.62
3810 3889 150.96
4537 4616 179.77
3251 3331 128.82
3427 3507 135.80
5057 5138 200.38
1688 1768 66.87
5964 5965 236.30
4789 4870 189.78
6041 6042 239.35
3402 3403 134.78
1968 2047 77.97
6028 6029 238.83
1555 1634 61.60
5390 5471 213.58
1607 1687 63.66
4987 5066 197.59
4217 4218 167.08
4164 4244 164.98
3463 3544 137.22
1290 1370 51.10
1424 1425 56.41
4369 4370 173.10
4405 4484 174.52
1306 1385 51.73
3162 3243 125.30
894 975 35.42
2515 2595 99.65
4946 5025 195.98
1902 1981 75.36
592 673 23.46
5761 5842 228.27
2143 2224 84.93
695 696 27.52
2487 2567 98.53
4161 4162 164.85
878 958 34.80
1043 1122 41.30
1539 1619 60.97
2276 2356 90.18
1051 1052 41.61
6055 6135 239.93
904 984 35.81
3163 3243 125.33
2657 2738 105.28
4553 4633 180.42
3188 3189 126.31
3147 3226 124.68
4997 5076 197.99
3360 3439 133.13
4256 4337 168.64
4936 5016 195.59
529 608 20.95
3171 3250 125.64
862 943 34.17
2534 2614 100.41
3218 3297 127.49
2685 2764 106.38
4602 4682 182.35
6311 6312 250.06
590 669 23.36
2589 2670 102.59
3787 3868 150.06
5279 5360 209.20
3658 3659 144.93
193 273 7.64
3527 3528 139.72
925 1006 36.66
557 637 22.08
2899 2979 114.86
5508 5509 218.24
2516 2517 99.67
3998 4079 158.44
3590 3671 142.27
2237 2318 88.66
6170 6171 244.45
4587 4666 181.74
444 525 17.60
783 784 31.01
373 453 14.78
68 148 2.70
3190 3271 126.42
3802 3881 150.64
4133 4134 163.75
6223 6304 246.60
4237 4316 167.89
4884 4885 193.49
5779 5859 228.98
1142 1143 45.22
5911 5992 234.24
3541 3620 140.29
4463 4544 176.86
4129 4210 163.62
630 631 24.95
1712 1793 67.84
1182 1263 46.85
4664 4665 184.78
3316 3396 131.39
5225 5306 207.04
6133 6214 243.03
6141 6222 243.35
5644 5723 223.63
3656 3735 144.86
3295 3376 130.56
4006 4007 158.70
4013 4092 158.99
4335 4416 171.77
484 564 19.16
2395 2396 94.89
5070 5071 200.87
3740 3741 148.18
3065 3146 121.45
468 469 18.53
223 302 8.83
3471 3551 137.53
3887 3966 154.01
5773 5774 228.72
5102 5183 202.18
1880 1881 74.47
4134 4215 163.82
488 567 19.31
2016 2095 79.86
1821 1822 72.14
3015 3094 119.46
5270 5350 208.83
5980 6059 236.95
4142 4222 164.13
3 83 0.10
5248 5249 207.93
4325 4404 171.35
2226 2307 88.22
5208 5288 206.35
6163 6244 244.20
1139 1220 45.13
138 218 5.47
2363 2364 93.61
1013 1092 40.13
2735 2816 108.37
3019 3099 119.63
5407 5408 214.23
5952 5953 235.82
4155 4234 164.64
3793 3794 150.27
1993 2074 78.99
2487 2488 98.51
2584 2665 102.39
2193 2273 86.89
5184 5263 205.41
977 1057 38.70
2612 2691 103.49
6157 6236 243.97
2451 2532 97.13
747 826 29.58
5103 5104 202.19
5800 5801 229.80
5731 5732 227.07
3974 4053 157.46
2473 2554 98.01
927 928 36.71
5469 5548 216.69
2337 2417 92.59
1493 1574 59.17
4351 4352 172.38
4277 4278 169.45
4238 4317 167.93
5033 5034 199.42
496 576 19.64
861 940 34.11
1070 1150 42.39
3703 3784 146.73
4749 4829 188.17
1486 1487 58.86
3444 3523 136.44
1656 1657 65.60
1799 1878 71.27
907 986 35.92
1292 1373 51.19
5586 5587 221.33
2590 2671 102.63
936 937 37.07
1453 1532 57.55
819 898 32.43
3455 3534 136.88
4229 4310 167.59
4488 4567 177.81
2092 2172 82.88
4607 4687 182.55
3827 3908 151.66
4352 4353 172.42
1199 1200 47.50
385 465 15.26
3442 3523 136.38
5436 5515 215.40
5267 5348 208.72
1524 1604 60.37
2755 2756 109.14
3852 3853 152.60
4302 4303 170.45
3433 3512 136.03
5982 6063 237.05
6113 6193 242.22
5897 5978 233.68
5340 5419 211.59
1659 1738 65.73
5850 5851 231.77
4809 4888 190.53
4107 4108 162.71
5528 5607 219.02
4214 4295 166.99
152 232 6.03
1841 1922 72.94
3133 3212 124.12
4405 4406 174.51
3395 3396 134.50
776 856 30.75
4638 4717 183.78
3235 3236 128.16
693 772 27.45
879 880 34.82
1036 1117 41.07
2298 2377 91.05
5598 5679 221.84
4458 4539 176.66
2062 2142 81.71
2351 2431 93.15
3915 3995 155.14
30 110 1.18
373 374 14.76
3951 4030 156.54
3764 3844 149.13
2154 2233 85.35
5422 5502 214.85
912 913 36.11
4072 4153 161.37
1573 1574 62.31
5383 5463 213.29
2944 3023 116.65
1158 1239 45.89
5643 5644 223.58
4646 4726 184.08
1373 1453 54.39
3249 3329 128.74
4365 4444 172.95
508 587 20.11
2116 2197 83.85
5364 5445 212.54
2823 2902 111.84
245 326 9.70
2808 2809 111.23
2957 3036 117.17
3987 4068 158.00
4444 4525 176.10
723 803 28.63
3761 3762 149.00
3659 3739 144.99
2355 2434 93.30
3496 3497 138.51
2846 2927 112.78
1013 1094 40.15
90 169 3.54
1747 1826 69.22
314 395 12.46
1901 1980 75.32
2904 2985 115.07
2074 2155 82.20
5671 5750 224.71
1491 1570 59.07
1269 1349 50.29
4678 4758 185.36
